,,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Total,
,New Accounts,0,0,91,0,0,0,0,0,0,0,0,0,91,
,Total Accounts Ordered,154,154,141,0,0,0,0,0,0,0,0,0,,
,Δ,,0,-13,-141,0,0,0,0,0,0,0,0,,
,Total Cases Sold,1545,1484,1547,0,0,0,0,0,0,0,0,0,1525,
,Average Cases / Account,10.0,9.6,11.0,,,,,,,,,,10.2,
,,,,,,,,,,,,,,,
SUM of # Cases Sold,,Quarter,,,,,,,,,,,,,
Customer,Product,Q1,Q2,Q3,,,,,,,,,,,
18th Street Commissary,Mango Gold,2,2,4,,,,,,,,,,8,Q1
,Peach Ginger,2,2,,,,,,,,,,,4,Q1
,Peach Ginger Probiot,,,3,,,,,,,,,,3,Q3
,Pineapple Organic,,,3,,,,,,,,,,3,Q3
,Rasp Lychee Organic,,,6,,,,,,,,,,6,Q3
,Strawberry Passn Org,,,6,,,,,,,,,,6,Q3
18th Street Commissary Total,,4,4,22,,,,,,,,,,30,Q1
Alvarado Brewery - Salinas Total,,1,1,1,,,,,,,,,,3,Q1
Apple - AP01,Guava Rose,1,1,,,,,,,,,,,2,Q1
,Peach Ginger,1,1,,,,,,,,,,,2,Q1
,Pineapple Paradise,1,1,,,,,,,,,,,2,Q1
Apple - AP01 Total,,3,3,,,,,,,,,,,6,Q1
August Hall,Guava Rose,2,2,,,,,,,,,,,4,Q1
,Peach Ginger,2,2,,,,,,,,,,,4,Q1
August Hall Total,,4,4,,,,,,,,,,,8,Q1
Boichik Bagels - Retail,Mango Gold,14,14,,,,,,,,,,,28,Q1
,Peach Ginger,10,10,,,,,,,,,,,20,Q1
,Strawberry Passion,15,15,,,,,,,,,,,30,Q1
Boichik Bagels - Retail Total,,39,39,,,,,,,,,,,78,Q1
Burlingame Country Club,Guava Rose,2,2,,,,,,,,,,,4,Q1
,Guava Rose Probiotic,,,1,,,,,,,,,,1,Q3
,Peach Ginger,2,2,,,,,,,,,,,4,Q1
,Peach Ginger Probiot,,,2,,,,,,,,,,2,Q3
,Strawberry Passion,2,2,,,,,,,,,,,4,Q1
,Strawberry Passn Org,,,2,,,,,,,,,,2,Q3
Burlingame Country Club Total,,6,6,5,,,,,,,,,,17,Q1
"Cheese Factory, The",Guava Rose,2,2,,,,,,,,,,,4,Q1
,Mango Gold,2,2,,,,,,,,,,,4,Q1
,Peach Ginger,2,2,,,,,,,,,,,4,Q1
,Pineapple Paradise,2,2,,,,,,,,,,,4,Q1
,Strawberry Passion,2,2,,,,,,,,,,,4,Q1
"Cheese Factory, The Total",,10,10,,,,,,,,,,,20,Q1
Coffee Cultures SF Total,,5,5,,,,,,,,,,,10,Q1
Depot Cafe & Bookstore,Guava Rose,15,15,,,,,,,,,,,30,Q1
,Guava Rose Probiotic,,,35,,,,,,,,,,35,Q3
,Pineapple Organic,,,4,,,,,,,,,,4,Q3
Depot Cafe & Bookstore Total,,15,15,39,,,,,,,,,,69,Q1
Eiko's,Guava Rose,2,2,,,,,,,,,,,4,Q1
,Guava Rose Probiotic,,,3,,,,,,,,,,3,Q3
,Mango Gold,3,3,2,,,,,,,,,,8,Q1
,Peach Ginger,2,2,,,,,,,,,,,4,Q1
,Peach Ginger Probiot,,,2,,,,,,,,,,2,Q3
,Strawberry Passion,4,4,,,,,,,,,,,8,Q1
,Strawberry Passn Org,,,4,,,,,,,,,,4,Q3
Eiko's Total,,11,11,11,,,,,,,,,,33,Q1
Events Management Warehse,Mango Gold,,,8,,,,,,,,,,8,Q3
,Peach Ginger,19,19,,,,,,,,,,,38,Q1
,Peach Ginger Probiot,,,18,,,,,,,,,,18,Q3
,Rasp Lychee Organic,,,1,,,,,,,,,,1,Q3
,Strawberry Passion,42,42,,,,,,,,,,,84,Q1
,Strawberry Passn Org,,,40,,,,,,,,,,40,Q3
Events Management Warehse Total,,61,61,67,,,,,,,,,,189,Q1
Foxtail Catering - Events,Strawberry Passion,28,28,,,,,,,,,,,56,Q1
,Strawberry Passn Org,,,10,,,,,,,,,,10,Q3
Foxtail Catering - Events Total,,28,28,10,,,,,,,,,,66,Q1
Foxtail Catering Corp,Strawberry Passion,26,26,,,,,,,,,,,52,Q1
Foxtail Catering Corp Total,,26,26,,,,,,,,,,,52,Q1
