    301645 ,20250901                      ,TO  ,20250930                      ,              ,                              ,              ,          ,                              ,                    ,     ,             ,                              ,               ,               ,                              ,        ,          ,                    ,          ,          ,           ,
Supplier ID,Supplier Desc                 ,OPCO,OPCO Desc                     ,Customer ID   ,Customer Desc                 ,Market Segment,Address   ,Street                        ,City                ,State,Zip Code     ,Sales Contact                 ,Sales Contact #,Item ID        ,Item Description              ,Brand   ,Item Class,Item Class Desc     ,Pack      ,Size      ,Cost       ,Qty Shp
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503584,B&N BKST 0536 TRUCK           ,CAMP          ,          ,1400 UNIVERSITY BLVD          ,BIRMINGHAM          ,AL   ,35233-1501   ,Victoria E Sage               ,2059962665     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503587,B&N BKST 8097 TRUCK           ,CAMP          ,          ,1900 S US HIGHWAY 31          ,BAY MINETTE         ,AL   ,36507-2619   ,Noah Channell                 ,2515802211     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503588,B&N BKST 8124 TRUCK           ,CAMP          ,          ,135 W HANCOCK ST              ,MILLEDGEVILLE       ,GA   ,31061-3449   ,Sophia Pope                   ,4784458398     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503613,B&N BKST 8054 TRUCK           ,CAMP          ,          ,100 COLLEGE BLVD E            ,NICEVILLE           ,FL   ,32578-1347   ,Cory T Stjohn                 ,8507295384     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,57.6       ,2
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10376777,ZETA TAU ALPHA FRATERNITY     ,CAMP          ,          ,922 MAGNOLIA DR               ,TUSCALOOSA          ,AL   ,35401        ,Debbie Laycock                ,2057997533     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,75.6       ,2
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503584,B&N BKST 0536 TRUCK           ,CAMP          ,          ,1400 UNIVERSITY BLVD          ,BIRMINGHAM          ,AL   ,35233-1501   ,Victoria E Sage               ,2059962665     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,37.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503587,B&N BKST 8097 TRUCK           ,CAMP          ,          ,1900 S US HIGHWAY 31          ,BAY MINETTE         ,AL   ,36507-2619   ,Noah Channell                 ,2515802211     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,37.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503588,B&N BKST 8124 TRUCK           ,CAMP          ,          ,135 W HANCOCK ST              ,MILLEDGEVILLE       ,GA   ,31061-3449   ,Sophia Pope                   ,4784458398     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,37.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503613,B&N BKST 8054 TRUCK           ,CAMP          ,          ,100 COLLEGE BLVD E            ,NICEVILLE           ,FL   ,32578-1347   ,Cory T Stjohn                 ,8507295384     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,75.6       ,2
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503584,B&N BKST 0536 TRUCK           ,CAMP          ,          ,1400 UNIVERSITY BLVD          ,BIRMINGHAM          ,AL   ,35233-1501   ,Victoria E Sage               ,2059962665     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503587,B&N BKST 8097 TRUCK           ,CAMP          ,          ,1900 S US HIGHWAY 31          ,BAY MINETTE         ,AL   ,36507-2619   ,Noah Channell                 ,2515802211     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503588,B&N BKST 8124 TRUCK           ,CAMP          ,          ,135 W HANCOCK ST              ,MILLEDGEVILLE       ,GA   ,31061-3449   ,Sophia Pope                   ,4784458398     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503613,B&N BKST 8054 TRUCK           ,CAMP          ,          ,100 COLLEGE BLVD E            ,NICEVILLE           ,FL   ,32578-1347   ,Cory T Stjohn                 ,8507295384     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,60         ,2
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503584,B&N BKST 0536 TRUCK           ,CAMP          ,          ,1400 UNIVERSITY BLVD          ,BIRMINGHAM          ,AL   ,35233-1501   ,Victoria E Sage               ,2059962665     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503587,B&N BKST 8097 TRUCK           ,CAMP          ,          ,1900 S US HIGHWAY 31          ,BAY MINETTE         ,AL   ,36507-2619   ,Noah Channell                 ,2515802211     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503588,B&N BKST 8124 TRUCK           ,CAMP          ,          ,135 W HANCOCK ST              ,MILLEDGEVILLE       ,GA   ,31061-3449   ,Sophia Pope                   ,4784458398     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503613,B&N BKST 8054 TRUCK           ,CAMP          ,          ,100 COLLEGE BLVD E            ,NICEVILLE           ,FL   ,32578-1347   ,Cory T Stjohn                 ,8507295384     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,57.6       ,2
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503584,B&N BKST 0536 TRUCK           ,CAMP          ,          ,1400 UNIVERSITY BLVD          ,BIRMINGHAM          ,AL   ,35233-1501   ,Victoria E Sage               ,2059962665     ,GFO90010       ,Sandwich Breakfast Bacon      ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,4 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503587,B&N BKST 8097 TRUCK           ,CAMP          ,          ,1900 S US HIGHWAY 31          ,BAY MINETTE         ,AL   ,36507-2619   ,Noah Channell                 ,2515802211     ,GFO90010       ,Sandwich Breakfast Bacon      ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,4 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503588,B&N BKST 8124 TRUCK           ,CAMP          ,          ,135 W HANCOCK ST              ,MILLEDGEVILLE       ,GA   ,31061-3449   ,Sophia Pope                   ,4784458398     ,GFO90010       ,Sandwich Breakfast Bacon      ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,4 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10503613,B&N BKST 8054 TRUCK           ,CAMP          ,          ,100 COLLEGE BLVD E            ,NICEVILLE           ,FL   ,32578-1347   ,Cory T Stjohn                 ,8507295384     ,GFO90010       ,Sandwich Breakfast Bacon      ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,4 oz      ,57.6       ,2
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10543182,SMOKEY MOUNTAIN ELITE, INC.   ,VEND          ,          ,10241 HARDIN VALLEY RD        ,KNOXVILLE           ,TN   ,37932-1610   ,Christopher Mikulec           ,7168607696     ,GFO90010       ,Sandwich Breakfast Bacon      ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,4 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,AT  ,Vistar Georgia                ,      10067752,CANTEEN PALMETTO VENDING 1568 ,VEND          ,          ,305 LOWCOUNTRY DR             ,RIDGELAND           ,SC   ,29936-7988   ,Rob Marotta                   ,8436459006     ,GOF10120       ,Hand Pie Pepperoni Pizza      ,Clara   ,44        ,FROZEN FOODS        ,="12"     ,6 oz      ,79.2       ,3
    301645 ,GALANT FOOD                   ,AZ  ,Vistar Phoenix                ,      10461404,CS-MM SIERRA WND 10341        ,VEND          ,          ,17300 N 88TH AVE              ,PEORIA              ,AZ   ,85382-3501   ,Christina George              ,6232980787     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,AZ  ,Vistar Phoenix                ,      10503592,B&N BKST 8473 TRUCK           ,CAMP          ,          ,8181 EAST IRVINGTON RD        ,TUCSON              ,AZ   ,85730        ,Laura Gonsalez                ,5208868837     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,BV  ,Vistar Minnesota              ,      10002231,CANTEEN/ST PAUL/5452          ,VEND          ,          ,700 24TH AVE SE               ,MINNEAPOLIS         ,MN   ,55414-2604   ,Rick Leistico                 ,6514880515     ,GFO10110       ,HandPie Chicken Pot Pie       ,Clara   ,44        ,FROZEN FOODS        ,="12"     ,6 oz      ,2534.4     ,96
    301645 ,GALANT FOOD                   ,BV  ,Vistar Minnesota              ,      10033732,VERSA VEND VENDING - ST CLOUD ,VEND          ,          ,6520 GALAXY RD                ,SAINT CLOUD         ,MN   ,56301        ,MARK LIESER                   ,3202515678     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,42         ,2
    301645 ,GALANT FOOD                   ,BV  ,Vistar Minnesota              ,      10131256,UP NORTH PLASTICS USG         ,VEND          ,          ,9480 JAMAICA AVE S            ,COTTAGE GROVE       ,MN   ,55016        ,Troy Malmer                   ,6517346268     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,42         ,2
    301645 ,GALANT FOOD                   ,BV  ,Vistar Minnesota              ,      10002231,CANTEEN/ST PAUL/5452          ,VEND          ,          ,700 24TH AVE SE               ,MINNEAPOLIS         ,MN   ,55414-2604   ,Rick Leistico                 ,6514880515     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,2037       ,97
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503597,B&N BKST 0282 TRUCK           ,CAMP          ,          ,601 S COLLEGE RD              ,WILMINGTON          ,NC   ,28403-3201   ,Hailey Hubley                 ,9109623188     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503599,B&N BKST 0394 TRUCK           ,CAMP          ,          ,2050 E HIGHWAY 501            ,CONWAY              ,SC   ,29526-9521   ,Jessica Camacho               ,8433495220     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,116.4      ,4
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503600,B&N BKST 0620 TRUCK           ,CAMP          ,          ,1111 WEST BRD ST              ,RICHMOND            ,VA   ,23284        ,Kathryn Escobar               ,8048281678     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503601,B&N BKST 0684 TRUCK           ,CAMP          ,          ,507 STIRLING ST               ,GREENSBORO          ,NC   ,27412-5005   ,Brad A Light                  ,3363345563     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,202.8      ,7
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10521532,B&N BKST 8554 TRUCK           ,CAMP          ,          ,1403 JOHN MITCHELL DR         ,GREENSBORO          ,NC   ,27411-0001   ,store manager                 ,3363347593     ,GFO00008       ,Sandwhich Chorizo Breakfast   ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,176.4      ,6
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503599,B&N BKST 0394 TRUCK           ,CAMP          ,          ,2050 E HIGHWAY 501            ,CONWAY              ,SC   ,29526-9521   ,Jessica Camacho               ,8433495220     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,75.6       ,2
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503601,B&N BKST 0684 TRUCK           ,CAMP          ,          ,507 STIRLING ST               ,GREENSBORO          ,NC   ,27412-5005   ,Brad A Light                  ,3363345563     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,75.6       ,2
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10521532,B&N BKST 8554 TRUCK           ,CAMP          ,          ,1403 JOHN MITCHELL DR         ,GREENSBORO          ,NC   ,27411-0001   ,store manager                 ,3363347593     ,GFO10608       ,Caprese Sandwhich             ,Clara's ,44        ,REFRIGERATED        ,="12"     ,7 oz      ,37.8       ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10538527,CS-BA WINGATE U KLONDIKE 69266,VEND          ,          ,204 E WILSON ST               ,WINGATE             ,NC   ,28174-9664   ,ROBERT JANSEN                 ,8643734090     ,GFO12001       ,Bagel Dog Bf Frnk W/ Ppy Sd   ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,99999999999999,Non Reporting Customer        ,VEND          ,XXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXX,XX   ,999999999    ,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,9999999999     ,GFO12001       ,Bagel Dog Bf Frnk W/ Ppy Sd   ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,118.8      ,6
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10007980,CR EMPLOYEE SALES             ,VEND          ,          ,4754 B MCCONNELL CTR DR       ,GREENSBORO          ,NC   ,27405        ,Mike Holland                  ,3366689411     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,79.2       ,4
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10538527,CS-BA WINGATE U KLONDIKE 69266,VEND          ,          ,204 E WILSON ST               ,WINGATE             ,NC   ,28174-9664   ,ROBERT JANSEN                 ,8643734090     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503597,B&N BKST 0282 TRUCK           ,CAMP          ,          ,601 S COLLEGE RD              ,WILMINGTON          ,NC   ,28403-3201   ,Hailey Hubley                 ,9109623188     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503599,B&N BKST 0394 TRUCK           ,CAMP          ,          ,2050 E HIGHWAY 501            ,CONWAY              ,SC   ,29526-9521   ,Jessica Camacho               ,8433495220     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,175.2      ,6
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503601,B&N BKST 0684 TRUCK           ,CAMP          ,          ,507 STIRLING ST               ,GREENSBORO          ,NC   ,27412-5005   ,Brad A Light                  ,3363345563     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,352.8      ,12
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10521532,B&N BKST 8554 TRUCK           ,CAMP          ,          ,1403 JOHN MITCHELL DR         ,GREENSBORO          ,NC   ,27411-0001   ,store manager                 ,3363347593     ,GFO20001       ,Sandwich Breakfast Turkey     ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,178.8      ,6
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503597,B&N BKST 0282 TRUCK           ,CAMP          ,          ,601 S COLLEGE RD              ,WILMINGTON          ,NC   ,28403-3201   ,Hailey Hubley                 ,9109623188     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,30         ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503599,B&N BKST 0394 TRUCK           ,CAMP          ,          ,2050 E HIGHWAY 501            ,CONWAY              ,SC   ,29526-9521   ,Jessica Camacho               ,8433495220     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,116.4      ,4
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503600,B&N BKST 0620 TRUCK           ,CAMP          ,          ,1111 WEST BRD ST              ,RICHMOND            ,VA   ,23284        ,Kathryn Escobar               ,8048281678     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,57.6       ,2
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503601,B&N BKST 0684 TRUCK           ,CAMP          ,          ,507 STIRLING ST               ,GREENSBORO          ,NC   ,27412-5005   ,Brad A Light                  ,3363345563     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,352.8      ,12
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10521532,B&N BKST 8554 TRUCK           ,CAMP          ,          ,1403 JOHN MITCHELL DR         ,GREENSBORO          ,NC   ,27411-0001   ,store manager                 ,3363347593     ,GFO20002       ,Sandwhich Brkfst Pesto Provol ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,28.8       ,1
    301645 ,GALANT FOOD                   ,CR  ,Vistar Carolina               ,      10503599,B&N BKST 0394 TRUCK           ,CAMP          ,          ,2050 E HIGHWAY 501            ,CONWAY              ,SC   ,29526-9521   ,Jessica Camacho               ,8433495220     ,GFO90010       ,Sandwich Breakfast Bacon      ,Clara's ,44        ,FROZEN FOODS        ,="12"     ,4 oz      ,57.6       ,2
