    301645 ,20240701                      ,TO  ,20240731                      ,              ,                              ,              ,          ,                              ,                    ,     ,             ,                              ,               ,               ,                              ,        ,          ,                    ,          ,          ,           ,
Supplier ID,Supplier Desc                 ,OPCO,OPCO Desc                     ,Customer ID   ,Customer Desc                 ,Market Segment,Address   ,Street                        ,City                ,State,Zip Code     ,Sales Contact                 ,Sales Contact #,Item ID        ,Item Description              ,Brand   ,Item Class,Item Class Desc     ,Pack      ,Size      ,Cost       ,Qty Shp
    301645 ,GALANT FOOD COMPANY           ,DE  ,Vistar Rocky Mountain         ,      10039553,HEALTHY CHOICE VENDING INC USG,VEND          ,          ,1875 N FORT LANE              ,LAYTON              ,UT   ,84041        ,Darren Evans   Dennis         ,8014449192     ,GFO12001       ,Bagel Dog Beef Frank          ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,59.4       ,3
    301645 ,GALANT FOOD COMPANY           ,DE  ,Vistar Rocky Mountain         ,      10039553,HEALTHY CHOICE VENDING INC USG,VEND          ,          ,1875 N FORT LANE              ,LAYTON              ,UT   ,84041        ,Darren Evans   Dennis         ,8014449192     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,59.4       ,3
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,99999999999999,Non Reporting Customer        ,VEND          ,XXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXX,XX   ,999999999    ,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,9999999999     ,GFO12001       ,Bagel Dog Beef Frank          ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10267523,MONSTER VENDING LLC           ,VEND          ,          ,809 MONROE ST                 ,LA PORTE            ,IN   ,46350        ,Andrew Metts                  ,2193268049     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10352007,CHRIS DISTEFANO  USG          ,VEND          ,          ,9205 S KEATING AVE            ,OAK LAWN            ,IL   ,60453-4652   ,Chris DiStefano               ,7084224747     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10487650,SDX INREACH CHICAGO NORTH COMM,VEND          ,          ,1151 1151 ROHLWING RD         ,ROLLING MEADOWS     ,IL   ,60008        ,Jess Adams                    ,6308857029     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,118.8      ,6
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10487968,SODEXO/AH COMM 92596001       ,VEND          ,          ,433 S VERMONT ST              ,PALATINE            ,IL   ,60067-6945   ,Jessica Adams                 ,8478339017     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,99         ,5
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,99999999999999,Non Reporting Customer        ,VEND          ,XXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXX,XX   ,999999999    ,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,9999999999     ,GFO12021       ,Bagel Dog Polish Sausage      ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10027899,EXPRESS VENDING USG           ,VEND          ,          ,940 S STONE AVE               ,LA GRANGE           ,IL   ,60525-2728   ,Carl Gehrke                   ,6302870101     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,19.8       ,1
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10192843,CANTEEN OTTO VENDING 1588     ,VEND          ,          ,2513 ELLINGTON ROAD           ,QUINCY              ,IL   ,62305        ,Shelbi Otto Anthony Sawyers   ,2172223343     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,178.2      ,9
    301645 ,GALANT FOOD COMPANY           ,IL  ,Vistar Illinois               ,      10495908,ALL-AROUND VENDING            ,VEND          ,          ,2300 WISCONSIN AVE            ,DOWNERS GROVE       ,IL   ,60515-2254   ,Michael Browning              ,6302485999     ,GFO12022       ,Bagel Dog Jalapeno Cheddar    ,Benny's ,44        ,FROZEN FOODS        ,="12"     ,5 oz      ,39.6       ,2
