Description,DescriptionDetails,Version,VersionNumber,Vendor,EnterpriseSupplierName,Format,StoresDownItemsDownDataAcross,Items,Brands,DistributionCenter,DCs,Stores,StoresSelected,DateRange,DateRangeSelected,Channel,RetailerArea,RetailerName,CustomerName,AddressBookNumber,Addressline1,AddressLine2,CustomerCity,CustomerStateCode,CustomerPostalCode,DC,UPC,BrandName,ProductDescription,ProductSize,UOM,ProductDivision,ProductSubDivision,ProductCategory,ProductSubCategory,ProductClass,CurrentYearQTY,PriorYearQTY,CurrentYearCost,PriorYearCost,YoYDollarChangePercent,YoYQtyChangePercent
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Gobble Inc,GOBBLE INC SHIP,705597,90 STEMMERS LN,,WESTAMPTON,NJ,080605652,EMD,611665888119,CLARAS KITCHEN,BURRITO BRKFST CHORIZO,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,300,0,$720.00,$0.00,100.0 %,100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Gobble Inc,GOBBLE INC SHIP,705597,90 STEMMERS LN,,WESTAMPTON,NJ,080605652,EMD,611665901047,CLARAS KITCHEN,BURRITO BEAN CHEESE,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,180,0,$432.00,$0.00,100.0 %,100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Gobble Inc,GOBBLE INC  SHIP,151271,18675 MADRONE PKWY # 150,,MORGAN HILL,CA,950372868,NCA,611665888119,CLARAS KITCHEN,BURRITO BRKFST CHORIZO,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,180,0,$432.00,$0.00,100.0 %,100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Manos Food And Wine Gifts,MANDOS SPOT LLC  SHIP,151400,2231 W LEDBETTER DR STE 250,,DALLAS,TX,752244742,DFW,611665888010,CLARAS KITCHEN,WRAP BRKFST CHILE EGG CHS,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,24,0,$57.60,$0.00,100.0 %,100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Manos Food And Wine Gifts,MANDOS SPOT LLC  SHIP,151400,2231 W LEDBETTER DR STE 250,,DALLAS,TX,752244742,DFW,611665888119,CLARAS KITCHEN,BURRITO BRKFST CHORIZO,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,48,0,$115.20,$0.00,100.0 %,100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Manos Food And Wine Gifts,MANDOS SPOT LLC  SHIP,151400,2231 W LEDBETTER DR STE 250,,DALLAS,TX,752244742,DFW,611665901047,CLARAS KITCHEN,BURRITO BEAN CHEESE,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,12,0,$28.80,$0.00,100.0 %,100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,All Other,Yay Lunch Inc,YAY LUNCH INC CHI-RDH,704848,701 LOCUST RD,,WILMETTE,IL,600912217,ROM,611665900101,CLARAS KITCHEN,SANDWICH BREAKFAST BACON,4.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$26.40,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,DoorDash,DoorDash,DOOR DASH   DEN-6,700288,12508 E BRIARWOOD AVE UNIT 1H,,CENTENNIAL,CO,801126733,AUR,611665900118,CLARAS KITCHEN,SANDWICH BREAKFST CHORIZO,5.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$27.00,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,DoorDash,DoorDash,DOOR DASH DEN-3,700199,3449 CHAMBERS RD,,AURORA,CO,800111326,AUR,611665900118,CLARAS KITCHEN,SANDWICH BREAKFST CHORIZO,5.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$27.00,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,DoorDash,DoorDash,DOOR DASH       DET-2,702955,2732 & 2736 WASHTENAW AVE,,YPSILANTI,MI,48197,ROM,611665900101,CLARAS KITCHEN,SANDWICH BREAKFAST BACON,4.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$26.40,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,DoorDash,DoorDash,DOOR DASH    CHI-1,702205,1010 N HOOKER ST,,CHICAGO,IL,606424549,ROM,611665900101,CLARAS KITCHEN,SANDWICH BREAKFAST BACON,4.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$26.40,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,DoorDash,DoorDash,DOOR DASH   TOL-1,704893,3410 DORR ST,,TOLEDO,OH,436071106,ROM,611665900118,CLARAS KITCHEN,SANDWICH BREAKFST CHORIZO,5.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$26.40,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,DoorDash,DoorDash,DOOR DASH       DET-2,702955,2732 & 2736 WASHTENAW AVE,,YPSILANTI,MI,48197,ROM,611665900118,CLARAS KITCHEN,SANDWICH BREAKFST CHORIZO,5.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$26.40,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,INFRA NON-SA,Infra Non-Sa,THYME & SEASON FRZEN INFRA INA,006614,3040 WHITNEY AVE,,HAMDEN,CT,065182351,EMD,611665888027,CLARAS KITCHEN,WRAP BRKFST SAUSGE EGG CH,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,0,12,$0.00,$28.80,-100.0 %,-100.0 %
Description,Shows units and cost for all items at all locations for Retailer Area selected for single calendar month with year-over-year change.,Version,3,Vendor,GALANT ENTERPRISES INC (02016427),Format,"Stores Down, Items Down, Data Across",Items, <ALL>,Distribution Center,All DC,Stores,ALL,Date Range,3/1/2025 to 3/31/2025,Alternate Channel,INFRA Northeast,Accord Market,ACCORD MARKET LLC SHIP INFRA,802761,37 MAIN ST,,ACCORD,NY,124045016,EMD,611665888010,CLARAS KITCHEN,WRAP BRKFST CHILE EGG CHS,8.000,OZ,FRESH,FRESH,DELI PREPARED FOODS,SANDWICHES,PREPACK,12,0,$28.80,$0.00,100.0 %,100.0 %
